0,47.067140975,15.493487912,542.2033,20389.70,1162.00,44106.50
1,47.067141533,15.493496131,541.3693,20389.60,1162.00,44106.50
2,47.067134974,15.493491982,540.9787,20389.60,1161.90,44106.50
3,47.067132005,15.493489536,540.5768,20389.70,1162.00,44106.50
4,47.067132025,15.493485126,540.1642,20389.70,1162.00,44106.50
5,47.067131312,15.493482173,540.7446,20389.80,1162.10,44106.60
6,47.067146563,15.493487044,542.6996,20389.70,1162.10,44106.50
7,47.067147587,15.493489769,541.9912,20389.50,1162.40,44106.50
8,47.067148799,15.493488042,541.7944,20389.60,1162.40,44106.50
9,47.067146719,15.493487788,542.7719,20389.60,1162.60,44106.40
10,47.067142422,15.493493079,543.8237,20389.70,1162.60,44106.50
11,47.067144849,15.493494928,543.4152,20389.80,1162.70,44106.40
12,47.067141932,15.493491556,542.9494,20389.70,1162.60,44106.40
13,47.067136081,15.493484826,542.6533,20389.90,1162.70,44106.40
14,47.067137009,15.493486781,543.0474,20389.90,1162.70,44106.40
15,47.067141753,15.493489307,543.002,20389.90,1162.80,44106.30
16,47.067138445,15.493486090,543.4506,20389.80,1162.80,44106.40
17,47.067136020,15.493484772,543.129,20389.70,1162.90,44106.40
18,47.067136969,15.493485032,542.34,20389.70,1162.80,44106.40
19,47.067130797,15.493484883,543.186,20389.90,1162.60,44106.50
20,47.067134683,15.493486193,543.5934,20390.00,1162.70,44106.50
21,47.067139247,15.493488643,543.3203,20389.80,1162.70,44106.60
22,47.067134017,15.493488744,544.047,20389.80,1162.60,44106.50
23,47.067136013,15.493488565,543.9643,20389.90,1162.70,44106.50
24,47.067140562,15.493494506,543.4416,20389.90,1162.70,44106.50
25,47.067137809,15.493490144,543.1206,20389.90,1162.60,44106.50
26,47.067136256,15.493485799,543.2888,20389.90,1162.70,44106.50
27,47.067137023,15.493485542,542.8415,20390.00,1162.60,44106.60
28,47.067133730,15.493480765,542.596,20390.20,1162.50,44106.60
29,47.067136264,15.493484016,542.2692,20390.40,1162.60,44106.60
30,47.067138752,15.493492917,542.7423,20390.40,1162.30,44106.60
31,47.067137719,15.493492705,543.8825,20390.40,1162.20,44106.60
32,47.067139984,15.493494123,543.5044,20390.80,1162.30,44106.60
33,47.067140391,15.493497106,542.9833,20390.70,1162.30,44106.60
34,47.067134299,15.493485052,543.4854,20390.80,1162.20,44106.60
35,47.067133704,15.493485523,543.3433,20390.90,1162.30,44106.60
36,47.067133259,15.493485812,543.8574,20390.90,1162.30,44106.50
37,47.067137220,15.493488552,542.8876,20390.90,1162.30,44106.50
38,47.067140133,15.493491626,542.9069,20390.90,1162.40,44106.50
39,47.067138481,15.493489412,543.6794,20391.00,1162.30,44106.50
40,47.067134403,15.493486115,543.4586,20391.30,1162.40,44106.50
41,47.067135010,15.493486326,542.0015,20391.50,1162.40,44106.50
42,47.067138046,15.493490244,541.5714,20391.30,1162.40,44106.50
43,47.067139080,15.493492462,541.5754,20391.40,1162.60,44106.50
44,47.067142413,15.493491971,541.3977,20391.10,1162.50,44106.50
45,47.067142451,15.493492124,541.78,20391.20,1162.70,44106.50
46,47.067139471,15.493489672,543.3831,20391.10,1162.70,44106.50
47,47.067141672,15.493488425,544.2899,20391.40,1162.80,44106.50
48,47.067142240,15.493489910,544.1214,20391.50,1162.60,44106.50
49,47.067142545,15.493492568,542.6968,20391.90,1162.50,44106.50
50,47.067140266,15.493485885,543.1098,20392.10,1162.30,44106.50
51,47.067133066,15.493481790,543.9816,20392.10,1162.20,44106.60
52,47.067129931,15.493482823,543.78,20392.20,1162.20,44106.60
53,47.067134866,15.493487296,541.8972,20392.20,1162.30,44106.60
54,47.067140179,15.493494561,541.4207,20392.30,1162.30,44106.50
55,47.067140035,15.493496647,541.0206,20392.40,1162.30,44106.50
56,47.067143873,15.493493506,539.2604,20392.30,1162.40,44106.50
57,47.067138120,15.493488579,545.001,20392.40,1162.40,44106.50
58,47.067138692,15.493487330,545.433,20392.30,1162.30,44106.50
